colors;;;
Color;R;G;B
blue;0;0;255
cyan;0;255;255
crimson;220;20;60
golden;255;215;0
chartreuse;127;255;0
turquoise;64;224;208
indigo;75;0;130
sea green;46;139;87
deep pink;255;20;147
olive drab;107;142;35
teal;0;128;128
red;255;0;0
yellow;255;255;0
sienna;160;82;45
lime green;50;205;50
aqua marine;127;255;212
purple;128;0;128
pink;255;192;203
rosy brown;188;143;143
corn flower;100;149;237
orange red;255;69;0
spring green;0;255;127
tan;210;180;140
steel blue;70;130;180
magenta;255;0;255
orange;255;165;0
khaki;240;230;140
sky blue;135;206;235
